Season Number,Startup Name,Episode Number,Pitch Number,Season Start,Season End,Original Air Date,Industry,Business Description,Company Website,Entrepreneur Names,Original Ask Amount,Original Offered Equity,Valuation Requested,Got Deal,Total Deal Amount,Total Deal Equity,Deal Valuation,Loan,Deal Has Conditions,Number of Sharks in Deal,Investment Amount Per Shark,Equity Per Shark,Mentoring,Invested Shark Names
8,Cenoradas,1,408,3-Oct-2023,12-Dec-2023,3-Oct-2023,Food and Beverage,bakery startup specializing in carrot cakes,,,,,,0,,,,,,,,,,
8,Dr.MepTelemedicinaVeterinária,2,409,3-Oct-2023,12-Dec-2023,10-Oct-2023,Health/Wellness,Tech solution for remote veterinary consultations,,,,,,1,150000,10.0,1500000,,,1,150000.00,10.00,,Rodrigo Macedo
8,TotalBeachTennis,2,410,3-Oct-2023,12-Dec-2023,10-Oct-2023,Fitness/Sports/Outdoors,3D sand printing and nanotechnology to improve beach tennis,,,,,,1,200000,15.0,1333333,,,1,200000.00,15.00,,João Appolinário
8,CatMake,2,411,3-Oct-2023,12-Dec-2023,10-Oct-2023,Beauty/Fashion,accessible beauty solutions,,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Luiza Trajano
8,XôXuca,2,412,3-Oct-2023,12-Dec-2023,10-Oct-2023,Food and Beverage,"healthy, natural, and tasty snacks",,,,,,1,100000,25.0,400000,,,1,100000.00,25.00,,Camila Farani
8,Titibum,3,413,3-Oct-2023,12-Dec-2023,17-Oct-2023,Lifestyle/Home,"stylish, comfortable, and functional baby carriers",,,,,,1,150000,25.0,600000,,,1,150000.00,25.00,,Luiza Trajano
8,Begin,3,414,3-Oct-2023,12-Dec-2023,17-Oct-2023,Technology/Software,"fintech/edtech platform that helps young people and their families plan, save, and invest",,,,,,1,250000,15.0,1666667,,,1,250000.00,15.00,,Rodrigo Macedo
8,TechGirls,3,415,3-Oct-2023,12-Dec-2023,17-Oct-2023,Technology/Software,offering programming courses exclusively for women,,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Camila Farani
8,EPSSul,3,416,3-Oct-2023,12-Dec-2023,17-Oct-2023,Health/Wellness,Expanded Polystyrene (EPS) products like medicines and food,,,,,,0,,,,,,,,,,
8,Maturi,4,417,3-Oct-2023,12-Dec-2023,24-Oct-2023,Technology/Software,"digital platform and app designed for the 50+ audience, offering content",,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Luiza Trajano
8,Economizare,4,418,3-Oct-2023,12-Dec-2023,24-Oct-2023,Technology/Software,financial education platform that uses gamification to teach people about personal finance,,,,,,1,150000,15.0,1000000,,,1,150000.00,15.00,,Rodrigo Macedo
8,SmartTourBrasil,4,419,3-Oct-2023,12-Dec-2023,24-Oct-2023,Technology/Software,managing and selling tours and touristic activities for destinations and operators,,,,,,0,,,,,,,,,,
8,EspaçoNotMeat,4,420,3-Oct-2023,12-Dec-2023,24-Oct-2023,Food and Beverage,"plant-based butcher shop and deli, offering a wide variety of vegan ""meats""",,,,,,1,200000,25.0,800000,,,1,200000.00,25.00,,Camila Farani
8,Fabenne,5,421,3-Oct-2023,12-Dec-2023,31-Oct-2023,Beauty/Fashion,"high-performance, vegan, and cruelty-free dermocosmetic skincare products",,,,,,1,200000,15.0,1333333,,,1,200000.00,15.00,,Luiza Trajano
8,NoarCloud,5,422,3-Oct-2023,12-Dec-2023,31-Oct-2023,Technology/Software,offering a cloud-based management platform (ERP),,,,,,0,,,,,,,,,,
8,Bunker,5,423,3-Oct-2023,12-Dec-2023,31-Oct-2023,Technology/Software,digital platform for storing and organizing important personal and family documents,,,,,,0,,,,,,,,,,
8,Ride2Play,5,424,3-Oct-2023,12-Dec-2023,31-Oct-2023,Technology/Software,connects independent drivers with families for safe and reliable school transportation,,,,,,1,500000,15.0,3333333,,,2,250000.00,7.50,,"João Appolinário, Ronaldo Nazário"
8,Bensá,6,425,3-Oct-2023,12-Dec-2023,7-Nov-2023,Food and Beverage,"producing healthy, plant-based sandwich spreads",,,,,,1,150000,15.0,1000000,,,1,150000.00,15.00,,Camila Farani
8,LaJoelheria,6,426,3-Oct-2023,12-Dec-2023,7-Nov-2023,Lifestyle/Home,"jewelry brand with a strong social impact, employing and training women",,,,,,1,100000,20.0,500000,,,1,100000.00,20.00,,Camila Farani
8,TubarãoSolar,6,427,3-Oct-2023,12-Dec-2023,7-Nov-2023,Lifestyle/Home,"subscription service for solar energy, allowing customers to save on their electricity bills",,,,,,0,,,,,,,,,,
8,Pipooh,6,428,3-Oct-2023,12-Dec-2023,7-Nov-2023,Technology/Software,potty-training device for toddlers that uses sensors and an app to track,,,,,,0,,,,,,,,,,
8,VazaNada,7,429,3-Oct-2023,12-Dec-2023,14-Nov-2023,Health/Wellness,menstrual panty designed to be a sustainable and reliable alternative to pads,,,,,,0,,,,,,,,,,
8,Foodz,7,430,3-Oct-2023,12-Dec-2023,14-Nov-2023,Food and Beverage,social network and discovery app focused exclusively on food,,,,,,0,,,,,,,,,,
8,SDWForAll,7,431,3-Oct-2023,12-Dec-2023,14-Nov-2023,Technology/Software,providing a Satellite-Derived Bathymetry (SDB) system,,,,,,0,,,,,,,,,,
8,HigherBridgeMethodology,7,432,3-Oct-2023,12-Dec-2023,14-Nov-2023,Technology/Software,online platform offering a methodology and tools to help companies measure and improve employee engagement,,,,,,0,,,,,,,,,,
8,CarteiroAmigo,8,433,3-Oct-2023,12-Dec-2023,21-Nov-2023,Technology/Software,logistics service focused on same-day delivery for e-commerce,,,,,,1,200000,10.0,2000000,,,1,200000.00,10.00,,João Appolinário
8,Plenapausa,8,434,3-Oct-2023,12-Dec-2023,21-Nov-2023,Health/Wellness,"platform focused on the menopause journey, offering educational content",,,,,,0,,,,,,,,,,
8,LisoPerfeito,8,435,3-Oct-2023,12-Dec-2023,21-Nov-2023,Beauty/Fashion,"haircare products, specifically a popular and viral ""finishing cream""",,,,,,1,150000,10.0,1500000,,,1,150000.00,10.00,,Luiza Trajano
8,CasadasLatas,8,436,3-Oct-2023,12-Dec-2023,21-Nov-2023,Liquor/Alcohol,craft brewery that exclusively uses canned beer,,,,,,0,,,,,,,,,,
8,HumanRobotics,9,437,3-Oct-2023,12-Dec-2023,28-Nov-2023,Technology/Software,robotic exoskeleton for physical rehabilitation and mobility assistance,,,,,,1,500000,10.0,5000000,,,1,500000.00,10.00,,Ronaldo Nazário
8,SoultaBeauty,9,438,3-Oct-2023,12-Dec-2023,28-Nov-2023,Beauty/Fashion,vegan and cruelty-free cosmetic brand,,,,,,0,,,,,,,,,,
8,PainterRobot,9,439,3-Oct-2023,12-Dec-2023,28-Nov-2023,Technology/Software,robot capable of painting walls and large surfaces,,,,,,1,300000,20.0,1500000,,,1,300000.00,20.00,,Ronaldo Nazário
8,Facilitoy,9,440,3-Oct-2023,12-Dec-2023,28-Nov-2023,Technology/Software,digital platform that connects parents with vendors for children's party planning,,,,,,0,,,,,,,,,,
8,PraViagem,10,441,3-Oct-2023,12-Dec-2023,5-Dec-2023,Technology/Software,travel tech platform that consolidates all of a user's travel documents,,,,,,0,,,,,,,,,,
8,Amitis,10,442,3-Oct-2023,12-Dec-2023,5-Dec-2023,Beauty/Fashion,underwear and loungewear for women,,,,,,1,150000,15.0,1000000,,,1,150000.00,15.00,,Luiza Trajano
8,Handdry,10,443,3-Oct-2023,12-Dec-2023,5-Dec-2023,Lifestyle/Home,"eco-friendly hand dryer that also functions as a tap, saving water and paper towels",,,,,,1,200000,15.0,1333333,,,1,200000.00,15.00,,João Appolinário
8,LuckieTech,10,444,3-Oct-2023,12-Dec-2023,5-Dec-2023,Pet Products,"litter box for cats that automatically separates solid waste, controls odor",,,,,,1,250000,15.0,1666667,,,1,250000.00,15.00,,Rodrigo Macedo
9,Dot,1,445,16-Sep-2024,21-Nov-2024,16-Sep-2024,Technology/Software,greeting cards with QR code,,,,,,1,300000,15.0,2000000,,,2,150000.00,7.50,,"Luiza Trajano, João Appolinário"
9,RageRoom,1,446,16-Sep-2024,21-Nov-2024,16-Sep-2024,Health/Wellness,relieve stress by breaking objects in a safe space,,,500000,20,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Rodrigo Macedo
9,ParadiseVerticalPark,2,447,16-Sep-2024,21-Nov-2024,19-Sep-2024,Fitness/Sports/Outdoors,indoor vertical park,,Rodrigo Macedo Bauzca & Juarez Ferreira,15000000,50,,1,150000,25.0,600000,,,1,150000.00,25.00,,Camila Farani
9,R5WF,2,448,16-Sep-2024,21-Nov-2024,19-Sep-2024,Beauty/Fashion,"R5 Water Filter, fitness tech",,,,,,1,150000,25.0,600000,,,1,150000.00,25.00,,Camila Farani
9,FreboPet,3,449,16-Sep-2024,21-Nov-2024,23-Sep-2024,Pet Products,Pet Products,,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Luiza Trajano
9,PubliNaBag,3,450,16-Sep-2024,21-Nov-2024,23-Sep-2024,Business Services,advertising platform that places ads on paper bags used by bakeries,,,,,,1,200000,15.0,1333333,,,1,200000.00,15.00,,João Appolinário
9,CleanXSolar,3,451,16-Sep-2024,21-Nov-2024,23-Sep-2024,Business Services,"autonomous, water-free robot for cleaning solar panels",,,,,,1,500000,10.0,5000000,,,1,500000.00,10.00,,Ronaldo Nazário
9,Chavi,4,452,16-Sep-2024,21-Nov-2024,26-Sep-2024,Business Services,premium cachaça,,,,,,1,200000,15.0,1333333,,,1,200000.00,15.00,,Rodrigo Macedo
9,Confra,4,453,16-Sep-2024,21-Nov-2024,26-Sep-2024,Lifestyle/Home,"social clubs organize and manage shared expenses for trips, parties",,Lucas Palma,,,,1,250000,15.0,1666667,,,1,250000.00,15.00,,Rodrigo Macedo
9,Hackone,5,454,16-Sep-2024,21-Nov-2024,30-Sep-2024,Technology/Software,"train professionals in areas of technology, global community of ethical hackers",,,,,,1,500000,10.0,5000000,,,1,500000.00,10.00,,Ronaldo Nazário
9,InstitutoAB,5,455,16-Sep-2024,21-Nov-2024,30-Sep-2024,Health/Wellness,"provides high-quality, low-cost technical training",,,,,,1,200000,15.0,1333333,,,1,200000.00,15.00,,Camila Farani
9,ProjetoTatuísta,5,456,16-Sep-2024,21-Nov-2024,30-Sep-2024,Business Services,social project that trains and empowers tattoo artists,,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Luiza Trajano
9,RoomysSorvetes,6,457,16-Sep-2024,21-Nov-2024,3-Oct-2024,Food and Beverage,Dairy-free ice creams craft ice cream with unique and sophisticated flavors,,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Luiza Trajano
9,Holy,6,458,16-Sep-2024,21-Nov-2024,3-Oct-2024,Health/Wellness,"cannabis medicinal and other phytotherapeutic products, offers telemedicine services",,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Camila Farani
9,SambaFitness,7,459,16-Sep-2024,21-Nov-2024,7-Oct-2024,Beauty/Fashion,fitness tech traditional Brazilian samba dance,,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Rodrigo Macedo
9,iHUNGRY,7,460,16-Sep-2024,21-Nov-2024,7-Oct-2024,Food and Beverage,"food delivery, modernizing restaurant processes with products",,,,,,1,300000,15.0,2000000,,,1,300000.00,15.00,,João Appolinário
9,CaféQuilombo,7,461,16-Sep-2024,21-Nov-2024,7-Oct-2024,Food and Beverage,premium coffee brand with a powerful social mission,,,,,,1,150000,30.0,500000,,,1,150000.00,30.00,,Camila Farani
9,Bartô,8,462,16-Sep-2024,21-Nov-2024,10-Oct-2024,Food and Beverage,ready-to-drink cocktails made with natural ingredients,,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Luiza Trajano
9,BioOnco,8,463,16-Sep-2024,21-Nov-2024,10-Oct-2024,Technology/Software,biotechnology company developing innovative molecular diagnostic tests for personalized cancer treatment,,,,,,1,1500000,10.0,15000000,,,1,1500000.00,10.00,,Ronaldo Nazário
9,CalmaSãoPaulo,9,464,16-Sep-2024,21-Nov-2024,14-Oct-2024,Health/Wellness,"Mental wellness, to help companies improve employee well-being",,,,,,1,300000,15.0,2000000,,,1,300000.00,15.00,,Rodrigo Macedo
9,PremierBebê,9,465,16-Sep-2024,21-Nov-2024,14-Oct-2024,Children/Education,baby products subscription box service for new parents,,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Luiza Trajano
9,SmartMake,9,466,16-Sep-2024,21-Nov-2024,14-Oct-2024,Beauty/Fashion,"virtual makeup, smart mirror and app for trying on makeup virtually using augmented reality",,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Camila Farani
9,ISGAME,10,467,16-Sep-2024,21-Nov-2024,17-Oct-2024,Technology/Software,edtech company that uses video games as a tool to teach,,,,,,1,250000,15.0,1666667,,,1,250000.00,15.00,,Rodrigo Macedo
9,CarvãoBrazah,10,468,16-Sep-2024,21-Nov-2024,17-Oct-2024,Food and Beverage,"high-quality, natural charcoal and firewood for grilling",,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,João Appolinário
9,RosadoDeserto,11,469,16-Sep-2024,21-Nov-2024,21-Oct-2024,Food and Beverage,"gourmet seasonings, salts, and condiments",,,,,,1,100000,25.0,400000,,,1,100000.00,25.00,,Camila Farani
9,PittacoConsultoria,11,470,16-Sep-2024,21-Nov-2024,21-Oct-2024,Business Services,strategic business consulting services,,,,,,1,200000,15.0,1333333,,,1,200000.00,15.00,,Rodrigo Macedo
9,PortableStyle,11,471,16-Sep-2024,21-Nov-2024,21-Oct-2024,Fitness/Sports/Outdoors,e-commerce focused on outdoor living and lifestyle products,,,,,,1,300000,20.0,1500000,,,1,300000.00,20.00,,Luiza Trajano
9,MinidiniSoluções,12,472,16-Sep-2024,21-Nov-2024,24-Oct-2024,Children/Education,"products and/or services geared toward child development, education, or play",,,,,,1,300000,15.0,2000000,,,1,300000.00,15.00,,Ronaldo Nazário
9,Gamezônia,12,473,16-Sep-2024,21-Nov-2024,24-Oct-2024,Lifestyle/Home,video game narrating the history of the Amazon,,,,,,1,400000,15.0,2666667,,,1,400000.00,15.00,,João Appolinário
9,ViolinoDidático,13,474,16-Sep-2024,21-Nov-2024,28-Oct-2024,Beauty/Fashion,methodology to teach violin in an accessible way,,,,,,1,150000,25.0,600000,,,1,150000.00,25.00,,Camila Farani
9,TupiOcas,13,475,16-Sep-2024,21-Nov-2024,28-Oct-2024,Food and Beverage,tapiocas (a traditional Brazilian food) enriched with superfoods,,,,,,1,150000,30.0,500000,,,1,150000.00,30.00,,Camila Farani
9,OyyáNaturalFood,13,476,16-Sep-2024,21-Nov-2024,28-Oct-2024,Food and Beverage,sustainable cacao drinks aiming to protect the Brazilian forest,,,,,,0,,,,,,,,,,
9,Investeendo,14,477,16-Sep-2024,21-Nov-2024,31-Oct-2024,Children/Education,"financial education social network, aimed at connecting people",,,,,,0,,,,,,,,,,
9,CantoBaobá,14,478,16-Sep-2024,21-Nov-2024,31-Oct-2024,Children/Education,promoting learning solutions,,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Camila Farani
9,Ororo,15,479,16-Sep-2024,21-Nov-2024,4-Nov-2024,Beauty/Fashion,"premium, vegan, and cruelty-free skincare products",,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Luiza Trajano
9,SoulPrime,15,480,16-Sep-2024,21-Nov-2024,4-Nov-2024,Health/Wellness,health tech company offering a subscription-based Longevity Club,,,,,,1,500000,10.0,5000000,,,1,500000.00,10.00,,Rodrigo Macedo
9,ProAthletic,16,481,16-Sep-2024,21-Nov-2024,7-Nov-2024,Fitness/Sports/Outdoors,"high-performance, stylish athletic wear, focusing on quality fabrics and designs",,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Luiza Trajano
9,Yapuana,16,482,16-Sep-2024,21-Nov-2024,7-Nov-2024,Health/Wellness,"aromatherapy device designed to transform ambient spaces, blending wellness with technology",,"João, Bruna, and Theo",,,,1,150000,25.0,600000,,,1,150000.00,25.00,,Camila Farani
9,DenovoShoes,17,483,16-Sep-2024,21-Nov-2024,11-Nov-2024,Beauty/Fashion,"footwear brand that collects old sneakers, grinds them down",,,,,,1,300000,15.0,2000000,,,1,300000.00,15.00,,João Appolinário
9,FitTruck,17,484,16-Sep-2024,21-Nov-2024,11-Nov-2024,Beauty/Fashion,"cosmetic products with a focus on innovation, fully equipped fitness studio",,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Rodrigo Macedo
9,RecycleNoApp,17,485,16-Sep-2024,21-Nov-2024,11-Nov-2024,Technology/Software,app and platform that connects waste generators,,,,,,1,200000,25.0,800000,,,1,200000.00,25.00,,Camila Farani
9,Joy'sCosméticos,18,486,16-Sep-2024,21-Nov-2024,14-Nov-2024,Beauty/Fashion,"cosmetics, likely with a specific niche or differentiator",,,,,,0,,,,,,,,,,
9,Bíon,18,487,16-Sep-2024,21-Nov-2024,14-Nov-2024,Technology/Software,biotech innovations creating 100% biodegradable and compostable packaging materials ,,,,,,1,500000,15.0,3333333,,,1,500000.00,15.00,,Ronaldo Nazário
9,QuebradaBurger,19,488,16-Sep-2024,21-Nov-2024,18-Nov-2024,Food and Beverage,gourmet burger business aimed at redefining fast-food experiences,,,,,,1,200000,25.0,800000,,,1,200000.00,25.00,,Luiza Trajano
9,HyperviewHologramas,19,489,16-Sep-2024,21-Nov-2024,18-Nov-2024,Business Services,hologram technology for events and advertising,,,,,,1,400000,20.0,2000000,,,1,400000.00,20.00,,Ronaldo Nazário
9,Br.ino,19,490,16-Sep-2024,21-Nov-2024,18-Nov-2024,Beauty/Fashion,innovative fashion accessories integrating technology and design,,,,,,1,250000,15.0,1666667,,,1,250000.00,15.00,,Rodrigo Macedo
9,Doctor'Home,20,491,16-Sep-2024,21-Nov-2024,21-Nov-2024,Health/Wellness,platform for scheduling home-visit doctors and medical services,,,,,,1,300000,15.0,2000000,,,1,300000.00,15.00,,João Appolinário
9,CeasaDigital,20,492,16-Sep-2024,21-Nov-2024,21-Nov-2024,Business Services,"B2B digital marketplace aiming to connect farmers, wholesalers",,,,,,0,,,,,,,,,,
10,Afropé,1,493,22-Sep-2025,10-Nov-2025,22-Sep-2025,Beauty/Fashion,innovating traditional products,,,,,,0,,,,,,,,,,
10,SeuClienteOculto,1,494,22-Sep-2025,10-Nov-2025,22-Sep-2025,Beauty/Fashion,Mystery Shopping,,,,,,0,,,,,,,,,,
10,LibreSkatePark,1,495,22-Sep-2025,10-Nov-2025,22-Sep-2025,Fitness/Sports/Outdoors,skateboarding infrastructure,,,,,,0,,,,,,,,,,
10,Mombak,2,496,22-Sep-2025,10-Nov-2025,25-Sep-2025,Technology/Software,tech company focused on restoring native forests,,,,,,1,1000000,1.5,66666667,,,1,1000000.00,1.50,,Rodrigo Macedo
10,MovêuMóveis,2,497,22-Sep-2025,10-Nov-2025,25-Sep-2025,Lifestyle/Home,furniture business,,,,,,0,,,,,,,,,,
10,GermanosPalhasItalianas,3,498,22-Sep-2025,10-Nov-2025,29-Sep-2025,Food and Beverage,artisanal Italian straws and gourmet pasta products,,,,,,0,,,,,,,,,,
10,LevaMotors,3,499,22-Sep-2025,10-Nov-2025,29-Sep-2025,Automotive/Vehicles,automotive / mobility business,,,,,,1,500000,10.0,5000000,,,1,500000.00,10.00,,Ronaldo Nazário
10,Peçanha'sRunners,3,500,22-Sep-2025,10-Nov-2025,29-Sep-2025,Fitness/Sports/Outdoors,sports/running gear,,,,,,0,,,,,,,,,,
10,OncoAI,4,501,22-Sep-2025,10-Nov-2025,2-Oct-2025,Health/Wellness,artificial intelligence startup in the oncology,,,,,,1,500000,10.0,5000000,,,1,500000.00,10.00,,Rodrigo Macedo
10,Infusiva,4,502,22-Sep-2025,10-Nov-2025,2-Oct-2025,Health/Wellness,"medical device startup that created a smart, automated IV pole for hospitals",,,,,,1,300000,15.0,2000000,,,1,300000.00,15.00,,Ronaldo Nazário
10,MiPetit,5,503,22-Sep-2025,10-Nov-2025,6-Oct-2025,Pet Products,"natural, healthy, and gourmet food and treats for pets",,,,,,0,,,,,,,,,,
10,Yoface,5,504,22-Sep-2025,10-Nov-2025,6-Oct-2025,Food and Beverage,plant-based yogurt alternatives,,,,,,0,,,,,,,,,,
10,Finestone,5,505,22-Sep-2025,10-Nov-2025,6-Oct-2025,Technology/Software,digital platform for managing construction projects and finances,,,,,,1,200000,10.0,2000000,,,1,200000.00,10.00,,João Appolinário
10,TheFutureSchool,6,506,22-Sep-2025,10-Nov-2025,9-Oct-2025,Children/Education,education/ed-tech startup,,,,,,1,250000,15.0,1666667,,,1,250000.00,15.00,,Rodrigo Macedo
10,Ruska,6,507,22-Sep-2025,10-Nov-2025,9-Oct-2025,Food and Beverage,flavored cachaças (Brazilian sugarcane spirit),,,,,,0,,,,,,,,,,
10,Newpen,7,508,22-Sep-2025,10-Nov-2025,13-Oct-2025,Lifestyle/Home,"high-quality, ergonomic, and sustainable pens",,,,,,1,150000,25.0,600000,,,1,150000.00,25.00,,Luiza Trajano
10,FeijoadaNuuBalde,7,509,22-Sep-2025,10-Nov-2025,13-Oct-2025,Food and Beverage,convenient way to sell the traditional Brazilian feijoada stew,,,,,,1,150000,25.0,600000,,,1,150000.00,25.00,,Camila Farani
10,Realixo,7,510,22-Sep-2025,10-Nov-2025,13-Oct-2025,Technology/Software,real estate tech platform that uses data and technology to help people find the ideal neighborhood and property,,,,,,1,200000,10.0,2000000,,,1,200000.00,10.00,,João Appolinário
10,MeuLabirinto,8,511,22-Sep-2025,10-Nov-2025,16-Oct-2025,Health/Wellness,"rehabilitation for labyrinthitis, tinnitus, and balance disorders",,,,,,0,,,,,,,,,,
10,VimmActivewear,8,512,22-Sep-2025,10-Nov-2025,16-Oct-2025,Fitness/Sports/Outdoors,activewear/fashion sports,,,,,,1,200000,20.0,1000000,,,1,200000.00,20.00,,Luiza Trajano
10,LojadoAvô,9,513,22-Sep-2025,10-Nov-2025,20-Oct-2025,Technology/Software,"online store selling classic, nostalgic toys and games",,,,,,0,,,,,,,,,,
10,Malhacão,9,514,22-Sep-2025,10-Nov-2025,20-Oct-2025,Fitness/Sports/Outdoors,fitness equipment and accessories for home gyms,,,,,,0,,,,,,,,,,
10,BRASolution,9,515,22-Sep-2025,10-Nov-2025,20-Oct-2025,Business Services,specific industrial solution or product,,,,,,0,,,,,,,,,,
10,Hoomy,10,516,22-Sep-2025,10-Nov-2025,23-Oct-2025,Lifestyle/Home,"Bed, Bath, and Tableware items",,,,,,0,,,,,,,,,,
10,PretaPorter,10,517,22-Sep-2025,10-Nov-2025,23-Oct-2025,Liquor/Alcohol,"beer brand with a strong identity, producing a ""Black IPA""",,,,,,1,150000,20.0,750000,,,1,150000.00,20.00,,Camila Farani
10,Box24x7,11,518,22-Sep-2025,10-Nov-2025,27-Oct-2025,Lifestyle/Home,micro-locations focused on promoting conscious consumption,,,,,,1,300000,10.0,3000000,,,1,300000.00,10.00,,João Appolinário
10,FreshFemme,11,519,22-Sep-2025,10-Nov-2025,27-Oct-2025,Health/Wellness,intimate wipes and hygiene products specifically designed for women,,,,,,1,150000,25.0,600000,,,1,150000.00,25.00,,Luiza Trajano
10,JhowBatata,11,520,22-Sep-2025,10-Nov-2025,27-Oct-2025,Food and Beverage,potato-based product,,,,,,0,,,,,,,,,,